Metric,Value
design_powergrid__voltage__worst__net:VPWR,1.19992
design_powergrid__drop__worst,0.0000840515
design_powergrid__drop__worst__net:VPWR,0.0000840515
design_powergrid__voltage__worst__net:VGND,0.0000808437
design_powergrid__drop__worst__net:VGND,0.0000808437
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00002379999999999999913476329826966804148469236679375171661376953125
ir__drop__worst,0.000084099999999999997782502980658847491213236935436725616455078125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
